08:02:35 [AI Object Patrol] Generating an example config...
08:03:55 [Expansion Quests] - SetupClientData - Loaded existing player quest data for player with UID: VdQMzQXeHHOFLSE_1rZsNZwA13odSwsy4R1-udi8Yjs=
08:03:55 [Expansion Quests] - PlayerQuestsInit - Create new quest instance for quest: 20 - Creator UID: VdQMzQXeHHOFLSE_1rZsNZwA13odSwsy4R1-udi8Yjs=
08:03:55 [Expansion Quests] - PlayerQuestsInit - Create new quest instance for quest: 23 - Creator UID: VdQMzQXeHHOFLSE_1rZsNZwA13odSwsy4R1-udi8Yjs=
08:03:55 [Expansion Quests] - PlayerQuestsInit - Create new quest instance for quest: 11 - Creator UID: VdQMzQXeHHOFLSE_1rZsNZwA13odSwsy4R1-udi8Yjs=
08:03:55 [Expansion Quests] - PlayerQuestsInit - Create new quest instance for quest: 12 - Creator UID: VdQMzQXeHHOFLSE_1rZsNZwA13odSwsy4R1-udi8Yjs=
08:04:00 [Expansion Quests] - SetupClientData - Loaded existing player quest data for player with UID: 4J1ZKcwA-26L3HgU5BJNo7WcyuiqX0LXnszrWFv9hmQ=
08:04:00 [Expansion Quests] - PlayerQuestsInit - Create new quest instance for quest: 23 - Creator UID: 4J1ZKcwA-26L3HgU5BJNo7WcyuiqX0LXnszrWFv9hmQ=
08:04:00 [Expansion Quests] - PlayerQuestsInit - Create new quest instance for quest: 82 - Creator UID: 4J1ZKcwA-26L3HgU5BJNo7WcyuiqX0LXnszrWFv9hmQ=
08:04:22 [Expansion Quests] - SetupClientData - Loaded existing player quest data for player with UID: iyN6JbNqEvHMp_A5zeXvCmCy1_EaihIFwZocZ4y6-LM=
08:04:22 [Expansion Quests] - PlayerQuestsInit - Create new quest instance for quest: 20 - Creator UID: iyN6JbNqEvHMp_A5zeXvCmCy1_EaihIFwZocZ4y6-LM=
08:04:22 [Expansion Quests] - PlayerQuestsInit - Create new quest instance for quest: 23 - Creator UID: iyN6JbNqEvHMp_A5zeXvCmCy1_EaihIFwZocZ4y6-LM=
08:04:38 [VehicleCarKey] Player "Banderas" (id=4J1ZKcwA-26L3HgU5BJNo7WcyuiqX0LXnszrWFv9hmQ= pos=<3933.479736, 19.698215, 5005.618652>) used the  ExpansionCarKey to unlock a Sedan_02
08:12:20 [Market] Player "Banderas" (id=4J1ZKcwA-26L3HgU5BJNo7WcyuiqX0LXnszrWFv9hmQ=) has send a requested to sell twp_deserteagle_mag_7rnd x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
08:12:20 [Market] Player "Banderas" (id=4J1ZKcwA-26L3HgU5BJNo7WcyuiqX0LXnszrWFv9hmQ=) has sold twp_deserteagle_mag_7rnd x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 44.
08:12:25 [Market] Player "Banderas" (id=4J1ZKcwA-26L3HgU5BJNo7WcyuiqX0LXnszrWFv9hmQ=) has send a requested to sell twp_sigsauerp250wingshot_mag_10rnd x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
08:12:25 [Market] Player "Banderas" (id=4J1ZKcwA-26L3HgU5BJNo7WcyuiqX0LXnszrWFv9hmQ=) has sold twp_sigsauerp250wingshot_mag_10rnd x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 63.
08:12:32 [Market] Player "Banderas" (id=4J1ZKcwA-26L3HgU5BJNo7WcyuiqX0LXnszrWFv9hmQ=) has send a requested to sell twp_amdspaceship_mag_30rnd x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
08:12:32 [Market] Player "Banderas" (id=4J1ZKcwA-26L3HgU5BJNo7WcyuiqX0LXnszrWFv9hmQ=) has sold twp_amdspaceship_mag_30rnd x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 247.
08:12:51 [Market] Player "Banderas" (id=4J1ZKcwA-26L3HgU5BJNo7WcyuiqX0LXnszrWFv9hmQ=) has send a requested to sell mag_famas_25rnd x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
08:12:51 [Market] Player "Banderas" (id=4J1ZKcwA-26L3HgU5BJNo7WcyuiqX0LXnszrWFv9hmQ=) has sold mag_famas_25rnd x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 90.
08:13:29 [Expansion Quests] - SetupClientData - Got cached player quest data for player with UID: iyN6JbNqEvHMp_A5zeXvCmCy1_EaihIFwZocZ4y6-LM=
08:13:35 [VehicleDestroyed] ExpansionGyrocopter was destroyed at pos=<5244.082031, -0.339602, 3638.674072>
08:14:06 [Market] Player "DeltaZero5" (id=VdQMzQXeHHOFLSE_1rZsNZwA13odSwsy4R1-udi8Yjs=) has send a requested to purchase mag_stanag_30rnd x1 from the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
08:14:07 [Market] Player "DeltaZero5" (id=VdQMzQXeHHOFLSE_1rZsNZwA13odSwsy4R1-udi8Yjs=) has bought mag_stanag_30rnd x1 from the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) for a price of 1450.
08:14:33 [ATM Locker] Player "DeltaZero5" (id=VdQMzQXeHHOFLSE_1rZsNZwA13odSwsy4R1-udi8Yjs=) has withdrawn 5226 from his ATM account.
08:16:00 [Market] Player "DeltaZero5" (id=VdQMzQXeHHOFLSE_1rZsNZwA13odSwsy4R1-udi8Yjs=) has send a requested to purchase ammo_556x45 x100 from the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
08:16:00 [Market] Player "DeltaZero5" (id=VdQMzQXeHHOFLSE_1rZsNZwA13odSwsy4R1-udi8Yjs=) has bought ammo_556x45 x100 from the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) for a price of 2500.
08:16:06 [Market] Player "Banderas" (id=4J1ZKcwA-26L3HgU5BJNo7WcyuiqX0LXnszrWFv9hmQ=) has send a requested to sell ragged_eyepatch x1 at the trader "Clothing (Linda [#STR_EXPANSION_MARKET_TRADER_CLOTHING])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
08:16:06 [Market] Player "Banderas" (id=4J1ZKcwA-26L3HgU5BJNo7WcyuiqX0LXnszrWFv9hmQ=) has sold ragged_eyepatch x1 at the trader "Clothing (Linda [#STR_EXPANSION_MARKET_TRADER_CLOTHING])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 600.
08:16:50 [Market] Player "DeltaZero5" (id=VdQMzQXeHHOFLSE_1rZsNZwA13odSwsy4R1-udi8Yjs=) has send a requested to sell ammo_762x39 x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
08:16:50 [Market] Player "DeltaZero5" (id=VdQMzQXeHHOFLSE_1rZsNZwA13odSwsy4R1-udi8Yjs=) has sold ammo_762x39 x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 8.
08:16:51 [Market] Player "DeltaZero5" (id=VdQMzQXeHHOFLSE_1rZsNZwA13odSwsy4R1-udi8Yjs=) has send a requested to sell ammo_762x39 x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
08:16:51 [Market] Player "DeltaZero5" (id=VdQMzQXeHHOFLSE_1rZsNZwA13odSwsy4R1-udi8Yjs=) has sold ammo_762x39 x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 8.
08:16:52 [Market] Player "DeltaZero5" (id=VdQMzQXeHHOFLSE_1rZsNZwA13odSwsy4R1-udi8Yjs=) has send a requested to sell ammo_762x39 x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
08:16:52 [Market] Player "DeltaZero5" (id=VdQMzQXeHHOFLSE_1rZsNZwA13odSwsy4R1-udi8Yjs=) has sold ammo_762x39 x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 8.
08:16:53 [Market] Player "DeltaZero5" (id=VdQMzQXeHHOFLSE_1rZsNZwA13odSwsy4R1-udi8Yjs=) has send a requested to sell ammo_762x39 x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
08:16:53 [Market] Player "DeltaZero5" (id=VdQMzQXeHHOFLSE_1rZsNZwA13odSwsy4R1-udi8Yjs=) has sold ammo_762x39 x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 8.
08:16:54 [Market] Player "DeltaZero5" (id=VdQMzQXeHHOFLSE_1rZsNZwA13odSwsy4R1-udi8Yjs=) has send a requested to sell ammo_762x39 x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
08:16:54 [Market] Player "DeltaZero5" (id=VdQMzQXeHHOFLSE_1rZsNZwA13odSwsy4R1-udi8Yjs=) has sold ammo_762x39 x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 8.
08:16:55 [Market] Player "DeltaZero5" (id=VdQMzQXeHHOFLSE_1rZsNZwA13odSwsy4R1-udi8Yjs=) has send a requested to sell ammo_762x39 x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
08:16:55 [Market] Player "DeltaZero5" (id=VdQMzQXeHHOFLSE_1rZsNZwA13odSwsy4R1-udi8Yjs=) has sold ammo_762x39 x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 8.
08:16:55 [Market] Player "DeltaZero5" (id=VdQMzQXeHHOFLSE_1rZsNZwA13odSwsy4R1-udi8Yjs=) has send a requested to sell ammo_762x39 x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
08:16:55 [Market] Player "DeltaZero5" (id=VdQMzQXeHHOFLSE_1rZsNZwA13odSwsy4R1-udi8Yjs=) has sold ammo_762x39 x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 8.
08:16:55 [Market] Player "DeltaZero5" (id=VdQMzQXeHHOFLSE_1rZsNZwA13odSwsy4R1-udi8Yjs=) has send a requested to sell ammo_762x39 x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
08:16:55 [Market] Player "DeltaZero5" (id=VdQMzQXeHHOFLSE_1rZsNZwA13odSwsy4R1-udi8Yjs=) has sold ammo_762x39 x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 8.
08:16:56 [Market] Player "DeltaZero5" (id=VdQMzQXeHHOFLSE_1rZsNZwA13odSwsy4R1-udi8Yjs=) has send a requested to sell ammo_762x39 x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
08:16:56 [Market] Player "DeltaZero5" (id=VdQMzQXeHHOFLSE_1rZsNZwA13odSwsy4R1-udi8Yjs=) has sold ammo_762x39 x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 8.
08:16:56 [Market] Player "DeltaZero5" (id=VdQMzQXeHHOFLSE_1rZsNZwA13odSwsy4R1-udi8Yjs=) has send a requested to sell ammo_762x39 x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
08:16:56 [Market] Player "DeltaZero5" (id=VdQMzQXeHHOFLSE_1rZsNZwA13odSwsy4R1-udi8Yjs=) has sold ammo_762x39 x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 8.
08:17:42 [Market] Player "DeltaZero5" (id=VdQMzQXeHHOFLSE_1rZsNZwA13odSwsy4R1-udi8Yjs=) has send a requested to purchase ammo_9x19 x50 from the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
08:17:42 [Market] Player "DeltaZero5" (id=VdQMzQXeHHOFLSE_1rZsNZwA13odSwsy4R1-udi8Yjs=) has bought ammo_9x19 x50 from the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) for a price of 250.
08:17:48 [Market] Player "Banderas" (id=4J1ZKcwA-26L3HgU5BJNo7WcyuiqX0LXnszrWFv9hmQ=) has send a requested to sell ragged_eyepatch x1 at the trader "Clothing (Linda [#STR_EXPANSION_MARKET_TRADER_CLOTHING])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
08:17:48 [Market] Player "Banderas" (id=4J1ZKcwA-26L3HgU5BJNo7WcyuiqX0LXnszrWFv9hmQ=) has sold ragged_eyepatch x1 at the trader "Clothing (Linda [#STR_EXPANSION_MARKET_TRADER_CLOTHING])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 600.
08:17:50 [Market] Player "Banderas" (id=4J1ZKcwA-26L3HgU5BJNo7WcyuiqX0LXnszrWFv9hmQ=) has send a requested to sell ragged_eyepatch x1 at the trader "Clothing (Linda [#STR_EXPANSION_MARKET_TRADER_CLOTHING])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
08:17:50 [Market] Player "Banderas" (id=4J1ZKcwA-26L3HgU5BJNo7WcyuiqX0LXnszrWFv9hmQ=) has sold ragged_eyepatch x1 at the trader "Clothing (Linda [#STR_EXPANSION_MARKET_TRADER_CLOTHING])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 600.
08:18:19 [Market] Player "DeltaZero5" (id=VdQMzQXeHHOFLSE_1rZsNZwA13odSwsy4R1-udi8Yjs=) has send a requested to sell twp_ammo_300winmag x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
08:18:19 [Market] Player "DeltaZero5" (id=VdQMzQXeHHOFLSE_1rZsNZwA13odSwsy4R1-udi8Yjs=) has sold twp_ammo_300winmag x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 9.
08:18:20 [Market] Player "DeltaZero5" (id=VdQMzQXeHHOFLSE_1rZsNZwA13odSwsy4R1-udi8Yjs=) has send a requested to sell twp_ammo_300winmag x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
08:18:20 [Market] Player "DeltaZero5" (id=VdQMzQXeHHOFLSE_1rZsNZwA13odSwsy4R1-udi8Yjs=) has sold twp_ammo_300winmag x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 9.
08:18:20 [Market] Player "DeltaZero5" (id=VdQMzQXeHHOFLSE_1rZsNZwA13odSwsy4R1-udi8Yjs=) has send a requested to sell twp_ammo_300winmag x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
08:18:20 [Market] Player "DeltaZero5" (id=VdQMzQXeHHOFLSE_1rZsNZwA13odSwsy4R1-udi8Yjs=) has sold twp_ammo_300winmag x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 9.
08:18:20 [ATM Locker] Player "Banderas" (id=4J1ZKcwA-26L3HgU5BJNo7WcyuiqX0LXnszrWFv9hmQ=) has deposited 3794 on his ATM account.
08:18:22 [Market] Player "DeltaZero5" (id=VdQMzQXeHHOFLSE_1rZsNZwA13odSwsy4R1-udi8Yjs=) has send a requested to sell twp_t5000_mag_10rnd x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
08:18:23 [Market] Player "DeltaZero5" (id=VdQMzQXeHHOFLSE_1rZsNZwA13odSwsy4R1-udi8Yjs=) has sold twp_t5000_mag_10rnd x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 75.
08:18:31 [Market] Player "DeltaZero5" (id=VdQMzQXeHHOFLSE_1rZsNZwA13odSwsy4R1-udi8Yjs=) has send a requested to purchase mag_stanag_30rnd x1 from the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
08:18:31 [Market] Player "DeltaZero5" (id=VdQMzQXeHHOFLSE_1rZsNZwA13odSwsy4R1-udi8Yjs=) has bought mag_stanag_30rnd x1 from the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) for a price of 1450.
08:19:02 [ATM Locker] Player "DeltaZero5" (id=VdQMzQXeHHOFLSE_1rZsNZwA13odSwsy4R1-udi8Yjs=) has deposited 1359 on his ATM account.
08:19:38 [Chat - Global]("Banderas"(id=4J1ZKcwA-26L3HgU5BJNo7WcyuiqX0LXnszrWFv9hmQ=)): p@lko you dont know what need craft in mummy quest?
08:20:34 [Chat - Global]("P@lko2265"(id=iyN6JbNqEvHMp_A5zeXvCmCy1_EaihIFwZocZ4y6-LM=)): nerozumím
08:21:27 [ATM Locker] Player "Banderas" (id=4J1ZKcwA-26L3HgU5BJNo7WcyuiqX0LXnszrWFv9hmQ=) has withdrawn 3000 from his ATM account.
08:21:38 [Market] Player "Banderas" (id=4J1ZKcwA-26L3HgU5BJNo7WcyuiqX0LXnszrWFv9hmQ=) has send a requested to purchase expansiontoolbox x1 from the trader "BuildingSupplies (Boris [#STR_EXPANSION_MARKET_TRADER_BUILDING_SUPPLIES])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
08:21:39 [Market] Player "Banderas" (id=4J1ZKcwA-26L3HgU5BJNo7WcyuiqX0LXnszrWFv9hmQ=) has bought expansiontoolbox x1 from the trader "BuildingSupplies (Boris [#STR_EXPANSION_MARKET_TRADER_BUILDING_SUPPLIES])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) for a price of 3000.
08:23:02 [ATM Locker] Player "Banderas" (id=4J1ZKcwA-26L3HgU5BJNo7WcyuiqX0LXnszrWFv9hmQ=) has withdrawn 16000 from his ATM account.
08:23:13 [Market] Player "Banderas" (id=4J1ZKcwA-26L3HgU5BJNo7WcyuiqX0LXnszrWFv9hmQ=) has send a requested to purchase expansionsafelarge x1 from the trader "BuildingSupplies (Boris [#STR_EXPANSION_MARKET_TRADER_BUILDING_SUPPLIES])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
08:23:13 [Market] Player "Banderas" (id=4J1ZKcwA-26L3HgU5BJNo7WcyuiqX0LXnszrWFv9hmQ=) has bought expansionsafelarge x1 from the trader "BuildingSupplies (Boris [#STR_EXPANSION_MARKET_TRADER_BUILDING_SUPPLIES])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) for a price of 16000.
08:23:58 [VehicleCarKey] Player "DeltaZero5" (id=VdQMzQXeHHOFLSE_1rZsNZwA13odSwsy4R1-udi8Yjs= pos=<4266.771973, 11.082598, 4189.971191>) used the  ExpansionCarKey to unlock a Sedan_02
08:25:13 [Safezone] Player "P@lko2265" (id=iyN6JbNqEvHMp_A5zeXvCmCy1_EaihIFwZocZ4y6-LM= pos=<4384.296875, 1.877378, 4071.933105>) Entered the safezone
08:27:33 [Safezone] Player "Banderas" (id=4J1ZKcwA-26L3HgU5BJNo7WcyuiqX0LXnszrWFv9hmQ= pos=<4156.683594, 15.198545, 4289.796875>) Left the safezone
08:27:33 [Safezone] Player "DeltaZero5" (id=VdQMzQXeHHOFLSE_1rZsNZwA13odSwsy4R1-udi8Yjs= pos=<4157.327637, 15.179511, 4290.122070>) Left the safezone
08:29:27 [Market] Player "P@lko2265" (id=iyN6JbNqEvHMp_A5zeXvCmCy1_EaihIFwZocZ4y6-LM=) has send a requested to sell mmg_falcon_b1_belt_black x1 at the trader "Clothing (Linda [#STR_EXPANSION_MARKET_TRADER_CLOTHING])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
08:29:27 [Market] Player "P@lko2265" (id=iyN6JbNqEvHMp_A5zeXvCmCy1_EaihIFwZocZ4y6-LM=) has sold mmg_falcon_b1_belt_black x1 at the trader "Clothing (Linda [#STR_EXPANSION_MARKET_TRADER_CLOTHING])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 1500.
08:31:45 [Market] Player "P@lko2265" (id=iyN6JbNqEvHMp_A5zeXvCmCy1_EaihIFwZocZ4y6-LM=) has send a requested to sell mmg_mk_iii_armor_ucp x1 at the trader "Clothing (Linda [#STR_EXPANSION_MARKET_TRADER_CLOTHING])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
08:31:45 [Market] Player "P@lko2265" (id=iyN6JbNqEvHMp_A5zeXvCmCy1_EaihIFwZocZ4y6-LM=) has sold mmg_mk_iii_armor_ucp x1 at the trader "Clothing (Linda [#STR_EXPANSION_MARKET_TRADER_CLOTHING])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 2750.
09:04:52 [VehicleCarKey] Player "Banderas" (id=4J1ZKcwA-26L3HgU5BJNo7WcyuiqX0LXnszrWFv9hmQ= pos=<4987.846680, 4.828425, 8410.904297>) used the  ExpansionCarKey to lock a Sedan_02
09:09:05 [Expansion Quests] - CreateQuestInstance - Created new quest instance for player with UID 4J1ZKcwA-26L3HgU5BJNo7WcyuiqX0LXnszrWFv9hmQ= for quest 3
09:09:05 [Expansion Quests] - ExpansionQuest - Quest owner ID: 4J1ZKcwA-26L3HgU5BJNo7WcyuiqX0LXnszrWFv9hmQ=
09:09:05 [Expansion Quests] - ExpansionQuest - Quest ID: 3
09:09:05 [Expansion Quests] - ExpansionQuest - Quest state: 1
09:09:05 [Expansion Quests] - ExpansionQuest - Quest completed: false
09:09:31 [Expansion Quests] - CreateQuestInstance - Created new quest instance for player with UID 4J1ZKcwA-26L3HgU5BJNo7WcyuiqX0LXnszrWFv9hmQ= for quest 24
09:09:31 [Expansion Quests] - ExpansionQuest - Quest owner ID: 4J1ZKcwA-26L3HgU5BJNo7WcyuiqX0LXnszrWFv9hmQ=
09:09:31 [Expansion Quests] - ExpansionQuest - Quest ID: 24
09:09:31 [Expansion Quests] - ExpansionQuest - Quest state: 1
09:09:31 [Expansion Quests] - ExpansionQuest - Quest completed: false
09:25:23 [VehicleCarKey] Player "Banderas" (id=4J1ZKcwA-26L3HgU5BJNo7WcyuiqX0LXnszrWFv9hmQ= pos=<4990.646484, 4.883668, 8413.922852>) used the  ExpansionCarKey to unlock a Sedan_02
09:26:34 [VehicleCarKey] Player "Banderas" (id=4J1ZKcwA-26L3HgU5BJNo7WcyuiqX0LXnszrWFv9hmQ= pos=<4990.433594, 4.829350, 8412.203125>) used the  ExpansionCarKey to lock a Sedan_02
09:31:26 [Safezone] Player "P@lko2265" (id=iyN6JbNqEvHMp_A5zeXvCmCy1_EaihIFwZocZ4y6-LM= pos=<4207.013672, 11.934942, 4151.193848>) Entered the safezone
09:31:26 [Expansion Quests] - SetupClientData - Got cached player quest data for player with UID: iyN6JbNqEvHMp_A5zeXvCmCy1_EaihIFwZocZ4y6-LM=
09:31:26 [Expansion Quests] - PlayerQuestsInit - Create new quest instance for quest: 20 - Creator UID: iyN6JbNqEvHMp_A5zeXvCmCy1_EaihIFwZocZ4y6-LM=
09:33:43 [ATM Locker] Player "P@lko2265" (id=iyN6JbNqEvHMp_A5zeXvCmCy1_EaihIFwZocZ4y6-LM=) has withdrawn 310000 from his ATM account.
09:34:52 [MissionAirdrop] An airdrop is heading towards "Schlachtfeld" (pos=<3059.000000, 0.000000, 1707.000000> type=Random_Schlachtfeld) with a ExpansionAirdropContainer_Military
