06:05:55 [AI Object Patrol] Generating an example config...
06:10:51 [Expansion Quests] - SetupClientData - Loaded existing player quest data for player with UID: qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs=
06:10:51 [Expansion Quests] - PlayerQuestsInit - Create new quest instance for quest: 20 - Creator UID: qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs=
06:10:51 [Expansion Quests] - PlayerQuestsInit - Create new quest instance for quest: 23 - Creator UID: qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs=
06:15:54 [MissionAirdrop] An airdrop is heading towards "Stein" (pos=<4619.000000, 0.000000, 7618.000000> type=Random_Stein) with a ExpansionAirdropContainer_Basebuilding
07:37:28 [Market] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs=) has send a requested to sell twp_armsan x1 at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
07:37:28 [Market] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs=) has sold twp_armsan x1 at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 1700.
07:37:30 [MissionAirdrop] An airdrop is heading towards "Osternach" (pos=<3924.000000, 0.000000, 2662.000000> type=Random_Osternach) with a ExpansionAirdropContainer_Medical
07:37:30 [MissionAirdrop] An airdrop is heading towards "Prien" (pos=<4452.000000, 0.000000, 2196.000000> type=Random_Prien) with a ExpansionAirdropContainer_Basebuilding
07:37:51 [Market] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs=) has send a requested to sell ammo_12gapellets x14 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
07:37:51 [Market] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs=) has sold ammo_12gapellets x14 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 63.
07:38:00 [Market] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs=) has send a requested to sell ammo_12gaslug x12 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
07:38:00 [Market] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs=) has sold ammo_12gaslug x12 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 54.
07:41:42 [Market] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs=) has send a requested to sell aug x1 at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
07:41:42 [Market] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs=) has sold aug x1 at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 2300.
07:42:10 [Market] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs=) has send a requested to sell universallight x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
07:42:10 [Market] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs=) has sold universallight x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 120.
07:42:43 [Market] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs=) has send a requested to purchase twp_aksuppressor x1 from the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
07:42:43 [Market] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs=) has bought twp_aksuppressor x1 from the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) for a price of 2500.
07:45:14 [Market] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs=) has send a requested to sell twp_optic_acog x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
07:45:15 [Market] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs=) has sold twp_optic_acog x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 338.
07:46:51 [Market] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs=) has send a requested to purchase ammo_762x39 x46 from the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
07:46:51 [Market] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs=) has bought ammo_762x39 x46 from the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) for a price of 1288.
07:48:00 [Market] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs=) has send a requested to purchase twp_weaponlight x1 from the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
07:48:01 [Market] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs=) has bought twp_weaponlight x1 from the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) for a price of 1000.
07:50:03 [Market] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs=) has send a requested to sell universallight x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
07:50:03 [Market] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs=) has sold universallight x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 120.
07:50:12 [Market] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs=) has send a requested to purchase twp_weaponlight x1 from the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
07:50:12 [Market] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs=) has bought twp_weaponlight x1 from the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) for a price of 1000.
07:53:46 [ATM Locker] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs=) has withdrawn 2832 from his ATM account.
07:54:51 [Market] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs=) has send a requested to purchase twp_ammo_338lapua_magnum x1 from the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
07:54:52 [Market] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs=) has bought twp_ammo_338lapua_magnum x1 from the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) for a price of 110.
07:56:30 [Market] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs=) has send a requested to sell twp_ammo_338lapua_magnum x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
07:56:31 [Market] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs=) has sold twp_ammo_338lapua_magnum x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 33.
07:57:24 [Market] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs=) has send a requested to purchase twp_ammo_338lapua_magnum x1 from the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
07:57:24 [Market] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs=) has bought twp_ammo_338lapua_magnum x1 from the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) for a price of 110.
07:58:26 [Market] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs=) has send a requested to purchase twp_ammo_338lapua_magnum x20 from the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
07:58:26 [Market] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs=) has bought twp_ammo_338lapua_magnum x20 from the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) for a price of 2200.
